seed,attention_type,final_loss,best_loss,final_acc,best_acc,elapsed_ms,attn_mean,attn_std,experiment,n_samples,noise_prob,layer_0_q_gate,layer_0_k_gate,layer_0_v_gate
0,standard,0.668372392654419,0.668372392654419,0.5625,0.5625,111.95810999925015,0.0625,0.017292123287916183,baseline,64,0.0,,,
1,standard,0.6288800239562988,0.625679612159729,0.65625,0.765625,86.83649700105889,0.0625,0.01815955340862274,baseline,64,0.0,,,
2,standard,0.6408944725990295,0.6408944725990295,0.59375,0.59375,95.54934700099693,0.0625,0.01653633452951908,baseline,64,0.0,,,
3,standard,0.5472111701965332,0.5472111701965332,0.8125,0.8125,90.90782500061323,0.0625,0.018704602494835854,baseline,64,0.0,,,
4,standard,0.6415329575538635,0.6415329575538635,0.6875,0.6875,93.8147429988021,0.0624999925494194,0.017603298649191856,baseline,64,0.0,,,
0,transformed_conv,0.6004559993743896,0.5931118130683899,0.796875,0.796875,221.47548299835762,0.0625,0.058886658400297165,baseline,64,0.0,0.003833356313407421,-0.0015041178558021784,-0.007943854667246342
1,transformed_conv,0.5949877500534058,0.5949877500534058,0.75,0.75,194.3486580003082,0.0625,0.05740141496062279,baseline,64,0.0,0.002955008065328002,-0.004694976378232241,-0.0008813784806989133
2,transformed_conv,0.560643196105957,0.560643196105957,0.84375,0.84375,217.98027200020442,0.0625,0.05327144265174866,baseline,64,0.0,0.002717026509344578,-0.006181180011481047,-0.002225725445896387
3,transformed_conv,0.5674388408660889,0.5674388408660889,0.78125,0.859375,197.46869600021455,0.0625,0.06610559672117233,baseline,64,0.0,0.006309562362730503,-0.0067099398002028465,-0.0004617675731424242
4,transformed_conv,0.6282072067260742,0.6282072067260742,0.71875,0.734375,203.26037999984692,0.0625,0.05428275093436241,baseline,64,0.0,-0.0029517451766878366,-0.003664938732981682,0.0011092780623584986
0,standard,0.5429115891456604,0.5429115891456604,0.8125,0.8125,48.52033699899039,0.0624999962747097,0.018399996683001518,low_data,16,0.0,,,
1,standard,0.5933716297149658,0.5933716297149658,0.6875,0.6875,50.96237900033884,0.0625,0.019700314849615097,low_data,16,0.0,,,
2,standard,0.4921216666698456,0.4921216666698456,0.875,0.875,48.780600998725276,0.0625,0.016250288113951683,low_data,16,0.0,,,
3,standard,0.5203246474266052,0.5203246474266052,0.8125,0.8125,46.10352599956968,0.0625,0.018166229128837585,low_data,16,0.0,,,
4,standard,0.5584781169891357,0.5584781169891357,0.875,0.875,49.63398299878463,0.0624999962747097,0.01682169735431671,low_data,16,0.0,,,
0,transformed_conv,0.43525341153144836,0.43525341153144836,0.9375,0.9375,97.52279699932842,0.0625,0.05460158362984657,low_data,16,0.0,0.0049999975599348545,-0.008814769797027111,-0.004421661142259836
1,transformed_conv,0.37810131907463074,0.37810131907463074,0.9375,0.9375,118.39315100041858,0.0625,0.057158101350069046,low_data,16,0.0,0.008342835120856762,0.001703056157566607,0.00571706797927618
2,transformed_conv,0.41785159707069397,0.41785159707069397,0.8125,0.875,111.44103100014036,0.0625,0.04868645220994949,low_data,16,0.0,0.00827776174992323,-0.005707672797143459,-0.0027678855694830418
3,transformed_conv,0.34502437710762024,0.34502437710762024,1.0,1.0,112.20520400092937,0.0625,0.06984759867191315,low_data,16,0.0,0.008170686662197113,0.008122837170958519,-0.006209367420524359
4,transformed_conv,0.5024581551551819,0.5024581551551819,0.9375,0.9375,111.79000199990696,0.0625,0.06644204258918762,low_data,16,0.0,0.001506367465481162,-0.004875475540757179,0.0064131575636565685
0,standard,0.6337152719497681,0.6220446228981018,0.625,0.625,60.08307099909871,0.0625,0.016802120953798294,low_data,32,0.0,,,
1,standard,0.5965638756752014,0.5965638756752014,0.625,0.71875,59.63005299963697,0.0625,0.01905646361410618,low_data,32,0.0,,,
2,standard,0.5465059876441956,0.5465059876441956,0.8125,0.8125,64.89821400100482,0.0625,0.016687892377376556,low_data,32,0.0,,,
3,standard,0.5362981557846069,0.5362981557846069,0.875,0.875,64.16692799939483,0.0625,0.018511859700083733,low_data,32,0.0,,,
4,standard,0.5517644882202148,0.5517644882202148,0.78125,0.78125,55.358810001052916,0.0625,0.017760207876563072,low_data,32,0.0,,,
0,transformed_conv,0.5112820863723755,0.5112820863723755,0.84375,0.875,136.30523699976038,0.0625,0.05847276374697685,low_data,32,0.0,0.008260705508291721,-0.002695061732083559,-0.006372717209160328
1,transformed_conv,0.4950416088104248,0.4950416088104248,0.8125,0.90625,143.41380199948617,0.0625,0.06069301441311836,low_data,32,0.0,0.0036100377328693867,-0.007601548917591572,0.00875240657478571
2,transformed_conv,0.4952593743801117,0.4952593743801117,0.84375,0.84375,153.3336810007313,0.0625,0.04606055095791817,low_data,32,0.0,0.00736685935407877,0.004035696852952242,-0.004325644113123417
3,transformed_conv,0.43325918912887573,0.43325918912887573,0.96875,0.96875,151.59746799872664,0.0625,0.07078089565038681,low_data,32,0.0,0.004999174736440182,0.0030100916046649218,-0.00501978537067771
4,transformed_conv,0.5989589095115662,0.5989589095115662,0.75,0.75,140.9198319997813,0.0625000074505806,0.05834336578845978,low_data,32,0.0,0.006051035597920418,-0.008274704217910767,0.00677028764039278
0,standard,0.668372392654419,0.668372392654419,0.5625,0.5625,91.17073900051764,0.0625,0.017292123287916183,low_data,64,0.0,,,
1,standard,0.6288800239562988,0.625679612159729,0.65625,0.765625,88.61396700012847,0.0625,0.01815955340862274,low_data,64,0.0,,,
2,standard,0.6408944725990295,0.6408944725990295,0.59375,0.59375,89.40728299967304,0.0625,0.01653633452951908,low_data,64,0.0,,,
3,standard,0.5472111701965332,0.5472111701965332,0.8125,0.8125,92.0581869995658,0.0625,0.018704602494835854,low_data,64,0.0,,,
4,standard,0.6415329575538635,0.6415329575538635,0.6875,0.6875,88.95514800133242,0.0624999925494194,0.017603298649191856,low_data,64,0.0,,,
0,transformed_conv,0.6004559993743896,0.5931118130683899,0.796875,0.796875,224.95980900021095,0.0625,0.058886658400297165,low_data,64,0.0,0.003833356313407421,-0.0015041178558021784,-0.007943854667246342
1,transformed_conv,0.5949877500534058,0.5949877500534058,0.75,0.75,216.69746599945938,0.0625,0.05740141496062279,low_data,64,0.0,0.002955008065328002,-0.004694976378232241,-0.0008813784806989133
