n_samples,model_type,mean_final_loss,std_final_loss,mean_best_token_acc,std_best_token_acc,mean_elapsed_ms
16,standard_seq2seq,12.113839149475098,0.6070120516692413,0.03046875,0.009043622580304864,123.84322880006948
16,analysis_synthesis_conv,9.42651433944702,0.849375746546215,0.03125,0.00855816496101822,329.2595109999638
32,standard_seq2seq,12.226759338378907,0.5252317726098596,0.023828125,0.0066978235154227525,156.26656179993006
32,analysis_synthesis_conv,9.579264831542968,0.6785359452875326,0.025,0.004349815908460955,419.02588039993134
64,standard_seq2seq,12.301615715026855,0.591995399960037,0.0201171875,0.002516425532563501,228.55614479994983
64,analysis_synthesis_conv,9.724224281311034,0.6248230722043506,0.0224609375,0.004902304842973099,638.554170200041
128,standard_seq2seq,12.293135261535644,0.5080853943986332,0.0197265625,0.000662336912414577,366.2757531999887
128,analysis_synthesis_conv,9.83071403503418,0.6199960993934028,0.02001953125,0.0019036707704705009,1153.0671966001137
