seed,model_type,final_loss,best_loss,final_token_acc,best_token_acc,elapsed_ms,cross_attn_mean,noise_prob,dict_gate
0,standard_seq2seq,13.846391677856445,13.846391677856445,0.07855626195669174,0.08067940920591354,203.25889800005825,0.1250000149011612,0.0,
1,standard_seq2seq,13.379096031188965,13.379096031188965,0.014830508269369602,0.04237288236618042,181.66857500000333,0.125,0.0,
2,standard_seq2seq,11.572369575500488,11.572369575500488,0.0258620698004961,0.0258620698004961,182.5293169986253,0.125,0.0,
3,standard_seq2seq,11.834592819213867,11.834592819213867,0.08350730687379837,0.0897703543305397,173.68102000000363,0.125,0.0,
4,standard_seq2seq,13.199258804321289,13.199258804321289,0.06437768042087555,0.06437768042087555,178.37746800069,0.125,0.0,
0,analysis_synthesis_conv,9.094496726989746,9.094496726989746,0.09129511564970016,0.09129511564970016,488.86645900165604,0.1249999925494194,0.0,0.009018235839903355
1,analysis_synthesis_conv,9.297718048095703,9.297718048095703,0.08262711763381958,0.09110169857740402,516.8879559987545,0.125,0.0,0.009067810140550137
2,analysis_synthesis_conv,8.96438980102539,8.96438980102539,0.10991379618644714,0.10991379618644714,475.0178070007678,0.125,0.0,0.009014095179736614
3,analysis_synthesis_conv,10.110411643981934,10.110411643981934,0.14822547137737274,0.14822547137737274,440.78343599903747,0.1249999925494194,0.0,0.008929151110351086
4,analysis_synthesis_conv,10.386741638183594,10.386741638183594,0.06008583679795265,0.07510729879140854,436.4812769999844,0.125,0.0,-0.008728062734007835
0,standard_seq2seq,13.717208862304688,13.717208862304688,0.08154506236314774,0.08369098603725433,168.80894399946555,0.125,0.1,
1,standard_seq2seq,14.12059211730957,14.12059211730957,0.025531914085149765,0.05319149047136307,168.118603000039,0.1249999925494194,0.1,
2,standard_seq2seq,11.4610595703125,11.4610595703125,0.03991596773266792,0.03991596773266792,167.5177449997136,0.1249999925494194,0.1,
3,standard_seq2seq,11.61765193939209,11.61765193939209,0.08210526406764984,0.09263157844543457,173.57993900077417,0.125,0.1,
4,standard_seq2seq,13.268609046936035,13.268609046936035,0.09052631258964539,0.09052631258964539,176.1298319997877,0.125,0.1,
0,analysis_synthesis_conv,9.07415771484375,9.07415771484375,0.07081545144319534,0.07296137511730194,424.8033280000527,0.125,0.1,0.008690984919667244
1,analysis_synthesis_conv,9.170760154724121,9.170760154724121,0.10000000149011612,0.10851063579320908,432.73177000082796,0.125,0.1,0.009013650938868523
