seed,attention_type,final_loss,best_loss,final_acc,best_acc,elapsed_ms,attn_mean,attn_std,noise_prob,q_gate,k_gate,v_gate
0,standard,0.6405665278434753,0.6405665278434753,0.65625,0.671875,61.33812200005195,0.0625,0.024265436455607414,0.0,,,
1,standard,0.5997747182846069,0.5997747182846069,0.71875,0.71875,43.15115400004288,0.0625,0.025536414235830307,0.0,,,
2,standard,0.618558943271637,0.618558943271637,0.671875,0.671875,41.96269800013397,0.0625,0.023161768913269043,0.0,,,
3,standard,0.599373996257782,0.599373996257782,0.734375,0.734375,42.73177899995062,0.0624999962747097,0.02284550480544567,0.0,,,
4,standard,0.6445831656455994,0.6445831656455994,0.71875,0.71875,45.355753999956505,0.0625000074505806,0.022028924897313118,0.0,,,
0,transformed_conv,0.553848922252655,0.553848922252655,0.828125,0.828125,122.41192500005127,0.0624999925494194,0.0719643384218216,0.0,-0.008067349903285503,0.00826171599328518,0.008818772621452808
1,transformed_conv,0.6148053407669067,0.6148053407669067,0.71875,0.71875,116.58602900024562,0.0624999962747097,0.07077394425868988,0.0,-0.00899262074381113,-0.003201421583071351,-0.00462852418422699
2,transformed_conv,0.5904473066329956,0.5904473066329956,0.765625,0.78125,127.88571700002649,0.0624999962747097,0.06569921970367432,0.0,0.0074202497489750385,0.009108399040997028,-0.008598105050623417
3,transformed_conv,0.595711886882782,0.595711886882782,0.6875,0.6875,96.2481609999486,0.0625,0.07317497581243515,0.0,0.009017514996230602,0.009006894193589687,-0.009050523862242699
4,transformed_conv,0.6134182214736938,0.6134182214736938,0.671875,0.671875,96.34416500011866,0.0625,0.07047434896230698,0.0,-0.00858828704804182,0.008876709267497063,-0.002651812043040991
0,standard,0.645187497138977,0.645187497138977,0.625,0.671875,42.22944200000711,0.0624999962747097,0.02489183470606804,0.1,,,
1,standard,0.6107044219970703,0.6107044219970703,0.671875,0.671875,43.533059999845136,0.0624999962747097,0.02503853105008602,0.1,,,
2,standard,0.6086341738700867,0.6086341738700867,0.625,0.625,44.85352999972747,0.0625,0.022800413891673088,0.1,,,
3,standard,0.6001760959625244,0.6001760959625244,0.765625,0.765625,43.061324000063905,0.0625,0.02303272858262062,0.1,,,
4,standard,0.6416969895362854,0.6416969895362854,0.71875,0.71875,45.17880999992485,0.0625,0.022407367825508118,0.1,,,
0,transformed_conv,0.5619911551475525,0.5619911551475525,0.828125,0.828125,119.57606200030568,0.0624999962747097,0.07258747518062592,0.1,-0.007871642708778381,0.009109891951084137,0.00884450413286686
1,transformed_conv,0.6315091848373413,0.6315091848373413,0.671875,0.671875,95.40156200000638,0.0625,0.06901590526103973,0.1,0.008797740563750267,0.0028780687134712934,-0.008006523363292217
2,transformed_conv,0.5959516763687134,0.5959516763687134,0.75,0.75,112.02334300014627,0.0625,0.066989965736866,0.1,0.00630659144371748,0.009075777605175972,-0.008869769982993603
3,transformed_conv,0.606476366519928,0.606476366519928,0.65625,0.65625,101.54702799991355,0.0625,0.07099681347608566,0.1,0.009058562107384205,0.009051237255334854,-0.0011966269230470061
4,transformed_conv,0.5674474239349365,0.5674474239349365,0.703125,0.703125,114.89903999972739,0.0625,0.0692838579416275,0.1,-0.009068497456610203,0.008739635348320007,-0.0032636045943945646
0,standard,0.6452935934066772,0.6452935934066772,0.640625,0.65625,47.57802499989339,0.0625,0.02484549954533577,0.2,,,
1,standard,0.6149701476097107,0.6149701476097107,0.671875,0.671875,42.34654799984128,0.0625,0.024576444178819656,0.2,,,
