experiment,variant,n_samples,corruption,mean_final_loss,mean_best_token_accuracy,mean_elapsed_ms
baseline,standard_seq2seq,,,12.76634178161621,0.060612479224801064,185.05347700011043
baseline,analysis_synthesis_conv,,,9.570751571655274,0.10312867611646652,443.7953275999462
low_data,standard_seq2seq,16,,12.283599281311036,0.07085685804486275,117.3764539998956
low_data,analysis_synthesis_conv,16,,9.094343566894532,0.1050964578986168,327.2677950000798
low_data,standard_seq2seq,32,,12.35756320953369,0.06966495849192142,139.56003839994082
low_data,analysis_synthesis_conv,32,,9.367939567565918,0.101682648062706,370.5653879998863
low_data,standard_seq2seq,64,,12.76634178161621,0.060612479224801064,180.2780474001338
low_data,analysis_synthesis_conv,64,,9.570751571655274,0.10312867611646652,488.45083199994406
low_data,standard_seq2seq,128,,12.913664817810059,0.06460897251963615,277.08025139945676
low_data,analysis_synthesis_conv,128,,9.584557151794433,0.10453061163425445,772.9177549997985
corruption,standard_seq2seq,,0.0,12.76634178161621,0.060612479224801064,183.9030555998761
corruption,analysis_synthesis_conv,,0.0,9.570751571655274,0.10312867611646652,471.60738700004003
corruption,standard_seq2seq,,0.1,12.837024307250976,0.07199126705527306,170.831012599956
corruption,analysis_synthesis_conv,,0.1,9.5582706451416,0.10699055641889572,435.3155639997567
corruption,standard_seq2seq,,0.2,12.708388328552246,0.06973601430654526,178.388136200374
corruption,analysis_synthesis_conv,,0.2,9.448032569885253,0.11359002143144607,441.366568000376
corruption,standard_seq2seq,,0.3,12.820600509643555,0.06851606145501137,179.57213260051503
corruption,analysis_synthesis_conv,,0.3,9.488469886779786,0.11713789254426957,431.78031660027045
