n_samples,attention_type,mean_final_loss,std_final_loss,mean_best_acc,std_best_acc,mean_elapsed_ms
16,standard,0.5414415299892426,0.03425642501797313,0.8125,0.06846531968814576,38.33612320013344
16,transformed_conv,0.41573777198791506,0.05352128567839464,0.9375,0.03952847075210474,71.59190940001281
32,standard,0.5729695558547974,0.03671920715541296,0.7625,0.0852386356061616,39.47704439997324
32,transformed_conv,0.5067602336406708,0.053278593187962034,0.86875,0.07234898064243891,86.91976000000068
64,standard,0.6253782033920288,0.04116449642182864,0.684375,0.0960143218483576,57.26169300005495
64,transformed_conv,0.5903465986251831,0.024348402011735888,0.796875,0.04941058844013093,157.27117820006242
128,standard,0.6483020782470703,0.0272159624668298,0.665625,0.04723817643072179,114.03224339992448
128,transformed_conv,0.63225759267807,0.023231046849149846,0.6859375,0.03292391797766481,233.42382380005802
