variant,seed,n_samples,corruption,final_loss,best_token_accuracy,elapsed_ms,experiment
standard_seq2seq,0,64,0.0,11.237869262695312,0.02500000037252903,189.61113300065335,baseline
standard_seq2seq,1,64,0.0,11.264699935913086,0.03281249850988388,144.86764399953245,baseline
standard_seq2seq,2,64,0.0,12.008488655090332,0.0234375,145.1581580004131,baseline
standard_seq2seq,3,64,0.0,10.000402450561523,0.02968749962747097,153.04565700171224,baseline
standard_seq2seq,4,64,0.0,9.477980613708496,0.0234375,160.49705099976563,baseline
analysis_synthesis_conv,0,64,0.0,8.145715713500977,0.03125,462.4699870000768,baseline
analysis_synthesis_conv,1,64,0.0,8.691141128540039,0.02968749962747097,392.22864200019103,baseline
analysis_synthesis_conv,2,64,0.0,8.771321296691895,0.0234375,404.6173339993402,baseline
analysis_synthesis_conv,3,64,0.0,8.287276268005371,0.03281249850988388,429.74458600110665,baseline
analysis_synthesis_conv,4,64,0.0,7.21314001083374,0.02656250074505806,433.7956299987127,baseline
standard_seq2seq,0,16,0.0,11.220983505249023,0.03750000149011612,99.02029400109313,low_data
standard_seq2seq,1,16,0.0,10.656988143920898,0.05624999850988388,106.6712740012008,low_data
standard_seq2seq,2,16,0.0,11.546869277954102,0.03125,108.39768400001049,low_data
standard_seq2seq,3,16,0.0,9.439558982849121,0.03125,92.22993000003044,low_data
standard_seq2seq,4,16,0.0,9.268937110900879,0.01875000074505806,108.74380600034783,low_data
analysis_synthesis_conv,0,16,0.0,7.5512375831604,0.03125,306.6113730001234,low_data
analysis_synthesis_conv,1,16,0.0,8.467348098754883,0.03750000149011612,257.5525030006247,low_data
analysis_synthesis_conv,2,16,0.0,8.658266067504883,0.0625,251.9713319998118,low_data
analysis_synthesis_conv,3,16,0.0,8.679864883422852,0.03125,275.5059690007329,low_data
analysis_synthesis_conv,4,16,0.0,6.972769260406494,0.03750000149011612,316.37763700018695,low_data
standard_seq2seq,0,32,0.0,11.297446250915527,0.03437500074505806,126.04871900111903,low_data
standard_seq2seq,1,32,0.0,10.996113777160645,0.04374999925494194,115.50967899893294,low_data
standard_seq2seq,2,32,0.0,11.969681739807129,0.02812499925494194,116.7468639996514,low_data
standard_seq2seq,3,32,0.0,9.96734619140625,0.03750000149011612,135.15464500051166,low_data
standard_seq2seq,4,32,0.0,9.448266983032227,0.02500000037252903,119.54566799977329,low_data
analysis_synthesis_conv,0,32,0.0,7.800173282623291,0.03125,360.05782000029285,low_data
analysis_synthesis_conv,1,32,0.0,8.733728408813477,0.04062499850988388,298.8363889999164,low_data
analysis_synthesis_conv,2,32,0.0,8.595817565917969,0.03750000149011612,301.8184119991929,low_data
analysis_synthesis_conv,3,32,0.0,8.388566970825195,0.02812499925494194,295.23487299957196,low_data
analysis_synthesis_conv,4,32,0.0,7.357224941253662,0.04374999925494194,287.3010709990922,low_data
standard_seq2seq,0,64,0.0,11.237869262695312,0.02500000037252903,139.11053499941772,low_data
standard_seq2seq,1,64,0.0,11.264699935913086,0.03281249850988388,159.32572900055675,low_data
standard_seq2seq,2,64,0.0,12.008488655090332,0.0234375,138.59186899935594,low_data
standard_seq2seq,3,64,0.0,10.000402450561523,0.02968749962747097,139.97384899994358,low_data
standard_seq2seq,4,64,0.0,9.477980613708496,0.0234375,154.74356900085695,low_data
analysis_synthesis_conv,0,64,0.0,8.145715713500977,0.03125,411.05579900067823,low_data
analysis_synthesis_conv,1,64,0.0,8.691141128540039,0.02968749962747097,399.94048700100393,low_data
analysis_synthesis_conv,2,64,0.0,8.771321296691895,0.0234375,372.23287600136246,low_data
analysis_synthesis_conv,3,64,0.0,8.287276268005371,0.03281249850988388,436.952358999406,low_data
analysis_synthesis_conv,4,64,0.0,7.21314001083374,0.02656250074505806,356.5415770008258,low_data
standard_seq2seq,0,128,0.0,11.373079299926758,0.0234375,242.6023019997956,low_data
standard_seq2seq,1,128,0.0,11.368354797363281,0.02500000037252903,201.07753899901581,low_data
standard_seq2seq,2,128,0.0,12.216852188110352,0.02109375037252903,208.7837409999338,low_data
standard_seq2seq,3,128,0.0,10.162740707397461,0.0234375,238.22699800075497,low_data
standard_seq2seq,4,128,0.0,9.633073806762695,0.02968749962747097,190.6228560001182,low_data
analysis_synthesis_conv,0,128,0.0,8.374490737915039,0.03125,578.8436359998741,low_data
analysis_synthesis_conv,1,128,0.0,8.681200981140137,0.02812499925494194,590.3297630011366,low_data
analysis_synthesis_conv,2,128,0.0,8.708945274353027,0.02265625074505806,545.4926289985451,low_data
analysis_synthesis_conv,3,128,0.0,8.490769386291504,0.02578124962747097,594.8096100000839,low_data
analysis_synthesis_conv,4,128,0.0,7.362152099609375,0.0234375,583.7350040001184,low_data
standard_seq2seq,0,64,0.0,11.237869262695312,0.02500000037252903,129.8445680004079,corruption
standard_seq2seq,1,64,0.0,11.264699935913086,0.03281249850988388,137.16835599916521,corruption
standard_seq2seq,2,64,0.0,12.008488655090332,0.0234375,129.10202499915613,corruption
standard_seq2seq,3,64,0.0,10.000402450561523,0.02968749962747097,143.92335699994874,corruption
standard_seq2seq,4,64,0.0,9.477980613708496,0.0234375,128.69167800090509,corruption
analysis_synthesis_conv,0,64,0.0,8.145715713500977,0.03125,421.7917109999689,corruption
analysis_synthesis_conv,1,64,0.0,8.691141128540039,0.02968749962747097,342.194978000407,corruption
analysis_synthesis_conv,2,64,0.0,8.771321296691895,0.0234375,354.5779880005284,corruption
analysis_synthesis_conv,3,64,0.0,8.287276268005371,0.03281249850988388,362.695983998492,corruption
analysis_synthesis_conv,4,64,0.0,7.21314001083374,0.02656250074505806,424.16397600027267,corruption
