variant,seed,n_samples,corruption,final_loss,best_token_accuracy,elapsed_ms
standard_seq2seq,0,64,0.0,11.237869262695312,0.02500000037252903,189.61113300065335
standard_seq2seq,1,64,0.0,11.264699935913086,0.03281249850988388,144.86764399953245
standard_seq2seq,2,64,0.0,12.008488655090332,0.0234375,145.1581580004131
standard_seq2seq,3,64,0.0,10.000402450561523,0.02968749962747097,153.04565700171224
standard_seq2seq,4,64,0.0,9.477980613708496,0.0234375,160.49705099976563
analysis_synthesis_conv,0,64,0.0,8.145715713500977,0.03125,462.4699870000768
analysis_synthesis_conv,1,64,0.0,8.691141128540039,0.02968749962747097,392.22864200019103
analysis_synthesis_conv,2,64,0.0,8.771321296691895,0.0234375,404.6173339993402
analysis_synthesis_conv,3,64,0.0,8.287276268005371,0.03281249850988388,429.74458600110665
analysis_synthesis_conv,4,64,0.0,7.21314001083374,0.02656250074505806,433.7956299987127
