attention_type,mean_final_loss,std_final_loss,mean_best_acc,std_best_acc,mean_elapsed_ms
standard,0.566816794872284,0.03162228720123239,0.76875,0.08291561975888499,40.67556199997853
transformed_conv,0.5384591579437256,0.019625207211889713,0.80625,0.1125,84.4007920000422
