model_type,mean_final_loss,std_final_loss,mean_best_token_acc,std_best_token_acc,mean_elapsed_ms,n_samples
standard_seq2seq,12.283599281311036,0.9517719784974737,0.07085685804486275,0.024538666203956644,117.3764539998956,16
analysis_synthesis_conv,9.094343566894532,0.6159814242613083,0.1050964578986168,0.016411679275977024,327.2677950000798,16
standard_seq2seq,12.35756320953369,0.8721777247698099,0.06966495849192142,0.025227179058643908,139.56003839994082,32
analysis_synthesis_conv,9.367939567565918,0.42981287542161273,0.101682648062706,0.019753005389799346,370.5653879998863,32
standard_seq2seq,12.76634178161621,0.8970081889481867,0.060612479224801064,0.02369520604813333,180.2780474001338,64
analysis_synthesis_conv,9.570751571655274,0.5702829755959151,0.10312867611646652,0.025098357421979432,488.45083199994406,64
standard_seq2seq,12.913664817810059,0.9910980431361947,0.06460897251963615,0.025096912823205073,277.08025139945676,128
analysis_synthesis_conv,9.584557151794433,0.5316864639767104,0.10453061163425445,0.02154108182179047,772.9177549997985,128
