seed,attention_type,final_loss,best_loss,final_acc,best_acc,elapsed_ms,attn_mean,attn_std,n_samples,q_gate,k_gate,v_gate
0,standard,0.5165192484855652,0.5165192484855652,0.8125,0.8125,36.72457499988013,0.0624999962747097,0.02618696168065071,16,,,
1,standard,0.533056378364563,0.533056378364563,0.6875,0.6875,31.435056999953304,0.0625,0.02526238188147545,16,,,
2,standard,0.5174419283866882,0.5174419283866882,0.875,0.875,29.29740599984143,0.0625,0.023523882031440735,16,,,
3,standard,0.5166229009628296,0.5166229009628296,0.625,0.6875,29.374529000051552,0.0625,0.021992502734065056,16,,,
4,standard,0.5855752825737,0.5855752825737,0.5625,0.6875,28.499559000010777,0.0625,0.02287597581744194,16,,,
0,transformed_conv,0.48298379778862,0.48298379778862,0.8125,0.8125,74.0504069999588,0.0625,0.07153157144784927,16,-0.0021801532711833715,0.006757949944585562,0.004969366360455751
1,transformed_conv,0.31263789534568787,0.31263789534568787,0.875,0.875,59.35612000007495,0.0624999962747097,0.0745009183883667,16,-0.0040631406009197235,0.00794705469161272,-0.009094936773180962
2,transformed_conv,0.49807801842689514,0.49807801842689514,0.6875,0.6875,57.80667699991682,0.0625,0.07041064649820328,16,-0.0071703060530126095,-0.009072612971067429,-0.008868498727679253
3,transformed_conv,0.4307115972042084,0.4307115972042084,0.875,0.875,100.53844799995204,0.0625,0.07422059774398804,16,0.009038603864610195,0.00900004617869854,0.008959784172475338
4,transformed_conv,0.4120555818080902,0.4120555818080902,0.9375,0.9375,67.77224000006754,0.0625,0.07803531736135483,16,-0.006429003085941076,0.009103445336222649,-0.0057901982218027115
0,standard,0.528825044631958,0.528825044631958,0.65625,0.65625,34.30043299999852,0.0625000074505806,0.024611178785562515,32,,,
1,standard,0.5635289549827576,0.5635289549827576,0.8125,0.8125,36.647720000019035,0.0625,0.027055753394961357,32,,,
2,standard,0.5719316005706787,0.5719316005706787,0.8125,0.8125,36.348738000015146,0.0625000074505806,0.02399228699505329,32,,,
3,standard,0.5470471382141113,0.5470471382141113,0.875,0.875,34.59539600021344,0.0625,0.02249174192547798,32,,,
4,standard,0.6227512359619141,0.6227512359619141,0.6875,0.6875,35.020443000121304,0.0625,0.0221113134175539,32,,,
0,transformed_conv,0.5191448330879211,0.5191448330879211,0.9375,0.9375,92.72644399993624,0.0624999962747097,0.0711265355348587,32,-0.007424062117934227,0.008119168691337109,0.00823849719017744
1,transformed_conv,0.5401164889335632,0.5401164889335632,0.6875,0.6875,78.63173400005508,0.0625,0.07383394986391068,32,-0.009067943319678307,-0.006220638751983643,-0.009041744284331799
2,transformed_conv,0.5637408494949341,0.5637408494949341,0.6875,0.6875,82.40602199998648,0.0625,0.06629326194524765,32,0.009053213521838188,0.00828801654279232,-0.005022308323532343
3,transformed_conv,0.513650119304657,0.513650119304657,0.9375,0.9375,89.81550099997548,0.0625000074505806,0.07406768947839737,32,0.008730990812182426,0.008594417944550514,-0.008403982035815716
4,transformed_conv,0.5556434988975525,0.5556434988975525,0.78125,0.78125,90.36296599992966,0.0625,0.06925632804632187,32,-0.00909083615988493,0.009102566167712212,-0.002909607719630003
0,standard,0.6405665278434753,0.6405665278434753,0.65625,0.671875,61.18621600012375,0.0625,0.024265436455607414,64,,,
1,standard,0.5997747182846069,0.5997747182846069,0.71875,0.71875,58.08638100006647,0.0625,0.025536414235830307,64,,,
2,standard,0.618558943271637,0.618558943271637,0.671875,0.671875,45.06106600001658,0.0625,0.023161768913269043,64,,,
3,standard,0.599373996257782,0.599373996257782,0.734375,0.734375,48.652469999979076,0.0624999962747097,0.02284550480544567,64,,,
4,standard,0.6445831656455994,0.6445831656455994,0.71875,0.71875,45.938624999962485,0.0625000074505806,0.022028924897313118,64,,,
0,transformed_conv,0.553848922252655,0.553848922252655,0.828125,0.828125,143.56406000001698,0.0624999925494194,0.0719643384218216,64,-0.008067349903285503,0.00826171599328518,0.008818772621452808
1,transformed_conv,0.6148053407669067,0.6148053407669067,0.71875,0.71875,138.42477899993355,0.0624999962747097,0.07077394425868988,64,-0.00899262074381113,-0.003201421583071351,-0.00462852418422699
2,transformed_conv,0.5904473066329956,0.5904473066329956,0.765625,0.78125,115.88081400009287,0.0624999962747097,0.06569921970367432,64,0.0074202497489750385,0.009108399040997028,-0.008598105050623417
3,transformed_conv,0.595711886882782,0.595711886882782,0.6875,0.6875,145.03013500007,0.0625,0.07317497581243515,64,0.009017514996230602,0.009006894193589687,-0.009050523862242699
4,transformed_conv,0.6134182214736938,0.6134182214736938,0.671875,0.671875,101.86243099997228,0.0625,0.07047434896230698,64,-0.00858828704804182,0.008876709267497063,-0.002651812043040991
0,standard,0.6662161350250244,0.6662161350250244,0.609375,0.609375,62.39170899993951,0.0625,0.02331444062292576,128,,,
1,standard,0.6374115943908691,0.6374115943908691,0.6953125,0.6953125,76.37292399999751,0.0625,0.025457048788666725,128,,,
2,standard,0.6527323126792908,0.6527323126792908,0.65625,0.6796875,68.65116300014051,0.0625,0.022141102701425552,128,,,
3,standard,0.6330432891845703,0.6330432891845703,0.6640625,0.6796875,89.4360439999673,0.0625,0.022998163476586342,128,,,
4,standard,0.6594717502593994,0.6594717502593994,0.59375,0.59375,69.37967099997877,0.0625,0.021920472383499146,128,,,
0,transformed_conv,0.6113520860671997,0.6113520860671997,0.734375,0.734375,231.84770600005322,0.0625,0.07157513499259949,128,-0.00872207060456276,0.008967120200395584,0.008335481397807598
1,transformed_conv,0.6292743682861328,0.6292743682861328,0.703125,0.703125,222.39437799998996,0.0625,0.07185465097427368,128,-0.009111106395721436,-0.00910824816673994,-0.009027557447552681
2,transformed_conv,0.6373394131660461,0.6373394131660461,0.6640625,0.6640625,241.2067190000471,0.0625,0.0669819712638855,128,0.008978208526968956,0.008300685323774815,-0.007942861877381802
3,transformed_conv,0.6375212669372559,0.6375212669372559,0.6328125,0.6328125,214.59777999984908,0.0625,0.07293582707643509,128,0.003663847455754876,0.008577552624046803,-0.008881769143044949
4,transformed_conv,0.6346142292022705,0.6346142292022705,0.6640625,0.6640625,214.67031900010625,0.0624999962747097,0.06978464126586914,128,0.0008962600259110332,-0.006141925696283579,-0.0013586754212155938
