variant,seed,n_samples,corruption,final_loss,best_token_accuracy,elapsed_ms
standard_decoder_only,0,16,0.0,17.247114181518555,0.02916666679084301,57.35943200124893
standard_decoder_only,1,16,0.0,14.217703819274902,0.05833333358168602,54.04178100070567
standard_decoder_only,2,16,0.0,15.506722450256348,0.05000000074505806,49.72184500002186
standard_decoder_only,3,16,0.0,19.05026626586914,0.0416666679084301,51.724069999181665
standard_decoder_only,4,16,0.0,16.293699264526367,0.03333333507180214,55.752730999302
transformed_conv_decoder_only,0,16,0.0,14.86476993560791,0.0416666679084301,112.3355250001623
transformed_conv_decoder_only,1,16,0.0,12.861532211303711,0.05833333358168602,114.67009600164602
transformed_conv_decoder_only,2,16,0.0,12.424808502197266,0.05416666716337204,118.32601800051634
transformed_conv_decoder_only,3,16,0.0,14.387985229492188,0.05000000074505806,109.52995700063184
transformed_conv_decoder_only,4,16,0.0,13.851835250854492,0.0416666679084301,113.19757099954586
standard_decoder_only,0,32,0.0,17.498565673828125,0.03333333507180214,65.45699700109253
standard_decoder_only,1,32,0.0,14.71273422241211,0.03333333507180214,66.76223499925982
standard_decoder_only,2,32,0.0,14.979132652282715,0.03958333283662796,66.61904400061758
standard_decoder_only,3,32,0.0,19.739408493041992,0.0416666679084301,66.7129700013902
standard_decoder_only,4,32,0.0,16.89196014404297,0.04374999925494194,64.93840899929637
transformed_conv_decoder_only,0,32,0.0,14.02149486541748,0.03958333283662796,143.43493500018667
transformed_conv_decoder_only,1,32,0.0,12.866378784179688,0.03333333507180214,156.94349200020952
transformed_conv_decoder_only,2,32,0.0,12.377238273620605,0.03541666641831398,134.54161200024828
transformed_conv_decoder_only,3,32,0.0,14.648067474365234,0.02916666679084301,143.1022529995971
transformed_conv_decoder_only,4,32,0.0,14.260919570922852,0.02291666716337204,149.8757259996637
standard_decoder_only,0,64,0.0,17.484556198120117,0.03750000149011612,95.81198299929383
standard_decoder_only,1,64,0.0,15.153735160827637,0.03437500074505806,88.26783099902968
standard_decoder_only,2,64,0.0,15.59641170501709,0.03229166567325592,92.08345700062637
standard_decoder_only,3,64,0.0,19.174724578857422,0.03750000149011612,91.12694199939142
standard_decoder_only,4,64,0.0,17.04189682006836,0.02916666679084301,98.90522299974691
transformed_conv_decoder_only,0,64,0.0,14.479884147644043,0.03541666641831398,241.81050100014545
transformed_conv_decoder_only,1,64,0.0,13.194375038146973,0.0364583320915699,223.43647200068517
transformed_conv_decoder_only,2,64,0.0,12.417933464050293,0.03541666641831398,209.58247699854837
transformed_conv_decoder_only,3,64,0.0,15.049090385437012,0.03541666641831398,213.32683699984045
transformed_conv_decoder_only,4,64,0.0,14.058547019958496,0.0416666679084301,234.6316229995864
standard_decoder_only,0,128,0.0,17.362688064575195,0.03177083283662796,172.98277800000506
standard_decoder_only,1,128,0.0,15.12522029876709,0.02916666679084301,175.89315500117664
standard_decoder_only,2,128,0.0,15.383550643920898,0.03072916716337204,183.40392299978703
standard_decoder_only,3,128,0.0,19.878875732421875,0.03281249850988388,179.4088520000514
standard_decoder_only,4,128,0.0,17.105497360229492,0.03802083432674408,182.39952900148637
transformed_conv_decoder_only,0,128,0.0,14.411824226379395,0.03489583358168602,404.9336480002239
transformed_conv_decoder_only,1,128,0.0,13.126431465148926,0.03958333283662796,426.9254360006016
transformed_conv_decoder_only,2,128,0.0,12.53719711303711,0.02968749962747097,438.82079600007273
transformed_conv_decoder_only,3,128,0.0,14.962447166442871,0.0338541679084301,433.45465099992
transformed_conv_decoder_only,4,128,0.0,14.060507774353027,0.03489583358168602,425.16800299927127
