variant,seed,n_samples,corruption,final_loss,best_token_accuracy,elapsed_ms
standard_decoder_only,0,64,0.0,17.484556198120117,0.03750000149011612,130.69065199852048
standard_decoder_only,1,64,0.0,15.153735160827637,0.03437500074505806,120.43747100142355
standard_decoder_only,2,64,0.0,15.59641170501709,0.03229166567325592,106.82862400062731
standard_decoder_only,3,64,0.0,19.174724578857422,0.03750000149011612,105.91012100121588
standard_decoder_only,4,64,0.0,17.04189682006836,0.02916666679084301,102.13244700025825
transformed_conv_decoder_only,0,64,0.0,14.479884147644043,0.03541666641831398,276.65449300002365
transformed_conv_decoder_only,1,64,0.0,13.194375038146973,0.0364583320915699,264.6487999991223
transformed_conv_decoder_only,2,64,0.0,12.417933464050293,0.03541666641831398,300.5263430004561
transformed_conv_decoder_only,3,64,0.0,15.049090385437012,0.03541666641831398,279.1800710001553
transformed_conv_decoder_only,4,64,0.0,14.058547019958496,0.0416666679084301,262.1515319988248
