seed,attention_type,final_loss,best_loss,final_acc,best_acc,elapsed_ms,attn_mean,attn_std,noise_prob,layer_0_q_gate,layer_0_k_gate,layer_0_v_gate
0,standard,0.668372392654419,0.668372392654419,0.5625,0.5625,70.60494799998196,0.0625,0.017292123287916183,0.0,,,
1,standard,0.6288800239562988,0.625679612159729,0.65625,0.765625,65.55280799966567,0.0625,0.01815955340862274,0.0,,,
2,standard,0.6408944725990295,0.6408944725990295,0.59375,0.59375,56.03662500016071,0.0625,0.01653633452951908,0.0,,,
3,standard,0.5472111701965332,0.5472111701965332,0.8125,0.8125,67.41077200013024,0.0625,0.018704602494835854,0.0,,,
4,standard,0.6415329575538635,0.6415329575538635,0.6875,0.6875,58.686402999683196,0.0624999925494194,0.017603298649191856,0.0,,,
0,transformed_conv,0.6004559993743896,0.5931118130683899,0.796875,0.796875,154.17055400030222,0.0625,0.058886658400297165,0.0,0.003833356313407421,-0.0015041178558021784,-0.007943854667246342
1,transformed_conv,0.5949877500534058,0.5949877500534058,0.75,0.75,118.84090500007005,0.0625,0.05740141496062279,0.0,0.002955008065328002,-0.004694976378232241,-0.0008813784806989133
2,transformed_conv,0.560643196105957,0.560643196105957,0.84375,0.84375,124.61031299972092,0.0625,0.05327144265174866,0.0,0.002717026509344578,-0.006181180011481047,-0.002225725445896387
3,transformed_conv,0.5674388408660889,0.5674388408660889,0.78125,0.859375,140.88136500004111,0.0625,0.06610559672117233,0.0,0.006309562362730503,-0.0067099398002028465,-0.0004617675731424242
4,transformed_conv,0.6282072067260742,0.6282072067260742,0.71875,0.734375,133.3593370000017,0.0625,0.05428275093436241,0.0,-0.0029517451766878366,-0.003664938732981682,0.0011092780623584986
0,standard,0.6589915156364441,0.6589915156364441,0.703125,0.703125,51.849896000021545,0.0625,0.01797640323638916,0.1,,,
1,standard,0.6216926574707031,0.6216926574707031,0.6875,0.703125,51.24527799989664,0.0625,0.017605988308787346,0.1,,,
2,standard,0.6514391303062439,0.6204199194908142,0.53125,0.71875,51.90404800032411,0.0624999925494194,0.016534244641661644,0.1,,,
3,standard,0.5427048802375793,0.5427048802375793,0.796875,0.796875,50.919951000196306,0.0625,0.018967298790812492,0.1,,,
4,standard,0.5869929194450378,0.5869929194450378,0.8125,0.8125,52.25143799998477,0.0625,0.017598893493413925,0.1,,,
0,transformed_conv,0.5776581168174744,0.5776581168174744,0.828125,0.828125,143.7753159998465,0.0625,0.05759667977690697,0.1,0.001610368024557829,-0.005491245072335005,-0.007524691987782717
1,transformed_conv,0.6236209869384766,0.6236209869384766,0.734375,0.734375,113.94363800036444,0.0625,0.057084571570158005,0.1,0.00230592698790133,0.0016259064432233572,-0.006022704765200615
2,transformed_conv,0.5736656188964844,0.5736656188964844,0.78125,0.8125,129.66130499989958,0.0625,0.051019422709941864,0.1,0.0025770708452910185,-0.004304215312004089,-0.0012087075738236308
3,transformed_conv,0.5862865447998047,0.5862865447998047,0.734375,0.796875,133.6490710000362,0.0625000074505806,0.06375569105148315,0.1,0.006340614520013332,-0.005966807249933481,-0.001994800055399537
