num_layers,attention_type,mean_final_loss,std_final_loss,mean_best_acc,std_best_acc,mean_elapsed_ms
1,standard,0.6464225292205811,0.014388360546471489,0.6875,0.02614562582918986,63.99917599997025
1,transformed_conv,0.627442479133606,0.03172095759279229,0.70625,0.07616286004346212,122.97679540001809
2,standard,0.6253782033920288,0.04116449642182864,0.684375,0.0960143218483576,86.69491719997495
2,transformed_conv,0.5903465986251831,0.024348402011735888,0.796875,0.04941058844013093,212.11947640008475
4,standard,0.5927895069122314,0.0332914433742808,0.753125,0.030297999108852055,150.37468879995686
4,transformed_conv,0.5959291696548462,0.05141528870114678,0.759375,0.04901370981674413,411.09873959999277
6,standard,0.5642056345939637,0.06180920384556174,0.790625,0.053764532919016415,210.1839162000033
6,transformed_conv,0.5608013927936554,0.0707402617151449,0.8,0.06658523672707037,562.4174587999732
